Sample_ID,Heterozygous,Homozygous,Missing
BKN_001,12.51,75.38,12.11
BKN_002,9.16,80.26,10.58
BKN_003,1.32,85.25,13.43
BKN_004,1.32,87.18,11.5
BKN_005,4.88,82.81,12.31
BKN_006,1.53,83.42,15.06
BKN_007,2.95,82.3,14.75
BKN_008,5.49,84.03,10.48
BKN_009,1.02,91.15,7.83
BKN_010,0.71,88.5,10.78
BKN_011,3.26,84.84,11.9
BKN_012,1.83,86.27,11.9
BKN_013,18.62,65.11,16.28
BKN_014,1.32,86.88,11.8
BKN_015,1.32,88.2,10.48
BKN_016,0.61,90.23,9.16
BKN_017,0.1,88.3,11.6
BKN_018,0.2,91.35,8.44
BKN_019,1.73,86.98,11.29
BKN_020,1.93,86.47,11.6
BKN_021,9.87,80.06,10.07
BKN_022,1.42,89.73,8.85
BKN_023,0.71,87.89,11.39
BKN_024,11.19,77.52,11.29
BKN_025,1.02,81.89,17.09
BKN_026,1.42,89.42,9.16
BKN_027,2.64,81.89,15.46
BKN_028,7.93,81.18,10.89
BKN_029,1.12,88.1,10.78
BKN_030,0.81,90.84,8.34
BKN_031,1.02,91.05,7.93
BKN_032,1.22,89.62,9.16
BKN_033,1.53,87.39,11.09
BKN_034,1.12,87.49,11.39
BKN_035,1.53,86.57,11.9
BKN_036,1.02,82.5,16.48
BKN_037,1.22,78.54,20.24
BKN_038,0.81,81.59,17.6
BKN_039,0.92,82.5,16.58
CU0001,0.31,89.52,10.17
CU0002,0.2,86.88,12.92
CU0003,0.2,89.32,10.48
CU0004,0.2,87.39,12.41
CU0005,0.71,89.11,10.17
CU0006,0.1,86.06,13.84
CU0007,0.2,89.83,9.97
CU0008,0.1,92.47,7.43
CU0009,0.41,88.91,10.68
CU0010,0.2,91.86,7.93
CU0011,0.2,89.42,10.38
CU0012,0.41,91.76,7.83
CU0013,0.2,84.44,15.36
CU0014,0.2,88.1,11.7
CU0015,0.1,86.78,13.12
CU0016,0.41,85.35,14.24
CU0017,0.31,92.57,7.12
CU0018,0.31,91.66,8.04
CU0019,0.2,87.39,12.41
CU0020,0.2,92.47,7.32
CU0021,0.2,87.28,12.51
CU0022,0.1,92.78,7.12
CU0023,0.1,83.01,16.89
CU0024,0.2,87.69,12.11
CU0025,0.1,92.47,7.43
CU0026,0.2,92.47,7.32
CU0027,0.31,91.76,7.93
CU0028,0.2,59.72,40.08
CU0029,0.51,88.81,10.68
CU0030,0.1,82.6,17.29
CU0031,0.31,91.86,7.83
CU0032,0.41,92.07,7.53
CU0033,0,86.78,13.22
CU0034,0.31,91.96,7.73
CU0035,0.1,87.18,12.72
CU0036,0.1,92.17,7.73
CU0037,0.2,87.69,12.11
CU0038,0.1,89.52,10.38
CU0039,0.2,89.22,10.58
CU0040,0.41,87.08,12.51
CU0041,0.31,91.35,8.34
CU0042,0.1,89.42,10.48
CU0043,0.31,89.83,9.87
CU0044,0.2,88.1,11.7
CU0045,0.1,86.47,13.43
CU0046,0.71,88.61,10.68
CU0047,0.2,90.34,9.46
CU0048,0.2,92.27,7.53
CU0049,0.1,91.66,8.24
CU0050,0.31,92.17,7.53
CU0051,0.92,91.25,7.83
CU0052,0.51,89.32,10.17
CU0053,0.2,89.42,10.38
CU0054,0.2,91.86,7.93
CU0055,0.2,87.89,11.9
CU0056,0.2,92.78,7.02
CU0057,0.1,89.52,10.38
CU0058,0.51,88.4,11.09
CU0059,2.24,85.66,12.11
CU0060,1.83,88.91,9.26
CU0061,0.41,91.56,8.04
CU0062,0.41,91.86,7.73
CU0063,0.2,90.03,9.77
CU0064,0.51,88.71,10.78
CU0065,0.2,92.07,7.73
CU0066,0.1,87.79,12.11
CU0067,1.12,74.06,24.82
CU0068,0.31,86.57,13.12
CU0069,1.32,88.2,10.48
CU0070,0.1,89.32,10.58
CU0071,1.93,87.89,10.17
CU0072,1.22,90.54,8.24
CU0073,0.31,91.96,7.73
CU0074,0.41,91.56,8.04
CU0075,0.2,91.35,8.44
CU0076,0.1,89.73,10.17
CU0077,0.1,92.37,7.53
CU0078,0.1,86.16,13.73
CU0079,0.51,90.13,9.36
CU0080,0.1,86.78,13.12
CU0081,0.2,87.79,12
CU0082,0.2,92.37,7.43
CU0083,0.1,92.57,7.32
CU0084,0.41,86.57,13.02
CU0085,0,92.17,7.83
CU0086,0.2,88.5,11.29
CU0087,0.2,84.23,15.56
CU0088,0.1,90.23,9.66
CU0089,0.2,91.05,8.75
CU0090,0.2,88.1,11.7
CU0091,0.1,89.62,10.27
CU0092,0.41,89.83,9.77
CU0093,0.2,92.47,7.32
CU0094,0.92,86.57,12.51
CU0095,0.2,88.4,11.39
CU0096,0.2,89.83,9.97
CU0097,0.2,90.23,9.56
CU0098,0.31,91.66,8.04
CU0099,0.31,64.29,35.4
CU0100,0.41,89.11,10.48
CU0101,0.31,69.18,30.52
CU0102,0.31,91.76,7.93
CU0103,0.1,90.03,9.87
CU0104,0.1,90.03,9.87
CU0105,0.51,89.83,9.66
CU0106,0.1,89.73,10.17
CU0107,0.1,89.83,10.07
CU0108,0.2,89.42,10.38
CU0109,0.51,89.52,9.97
CU0110,0.1,89.32,10.58
CU0111,1.22,91.15,7.63
CU0112,0.1,86.98,12.92
CU0113,0.41,90.84,8.75
CU0114,0.31,89.83,9.87
CU0115,0.31,91.66,8.04
CU0116,0.71,91.86,7.43
CU0117,0.2,91.66,8.14
CU0118,0.2,87.39,12.41
CU0119,0,89.83,10.17
CU0120,0.2,88,11.8
CU0121,0.51,91.25,8.24
CU0122,0.2,89.52,10.27
CU0123,0.31,89.62,10.07
CU0124,0.1,88,11.9
CU0125,0.1,92.37,7.53
CU0126,0.2,88.5,11.29
CU0127,0.41,91.15,8.44
CU0128,0.31,87.79,11.9
CU0129,0.2,89.73,10.07
CU0130,0.2,88.5,11.29
CU0131,0,89.32,10.68
CU0132,0.1,92.47,7.43
CU0133,0.51,91.66,7.83
CU0134,0.1,84.44,15.46
CU0135,0.2,88,11.8
CU0136,0.1,92.57,7.32
CU0137,0.1,90.64,9.26
CU0138,0,89.42,10.58
CU0139,0.31,88.2,11.5
CU0140,0,81.79,18.21
CU0141,0.31,91.86,7.83
CU0142,0.2,89.32,10.48
CU0143,0.31,77.21,22.48
CU0144,0.61,91.76,7.63
CU0145,0.51,91.96,7.53
CU0146,0.2,89.42,10.38
CU0147,0.2,75.89,23.91
CU0148,0.2,90.54,9.26
CU0149,0.2,89.32,10.48
CU0150,0.1,89.11,10.78
CU0151,0.51,91.56,7.93
CU0152,0.51,88.91,10.58
CU0153,0.2,92.27,7.53
CU0154,0.1,92.68,7.22
CU0155,0.31,78.84,20.85
CU0156,0.1,87.28,12.61
CU0157,0.31,90.13,9.56
CU0158,0.31,89.73,9.97
CU0159,0.31,92.37,7.32
CU0160,0.41,88.81,10.78
CU0161,0.41,87.89,11.7
CU0162,0.31,88.91,10.78
CU0163,0.31,91.66,8.04
CU0164,0.1,89.01,10.89
CU0165,0.2,92.57,7.22
CU0166,0.41,89.42,10.17
CU0167,0.2,89.32,10.48
CU0168,0.2,91.76,8.04
CU0169,0.1,87.08,12.82
CU0170,0.31,87.49,12.21
CU0171,0.41,90.23,9.36
CU0172,0.51,89.42,10.07
CU0173,3.36,84.13,12.51
CU0174,0.1,87.79,12.11
CU0175,0.31,91.25,8.44
CU0176,0.2,89.52,10.27
CU0177,0.2,91.86,7.93
CU0178,0.2,91.96,7.83
CU0179,0.41,88.91,10.68
CU0180,0.2,90.74,9.05
CU0181,0.2,91.76,8.04
CU0182,0.1,88.91,10.99
CU0183,0.31,89.73,9.97
CU0184,0.31,85.45,14.24
CU0185,0,89.22,10.78
CU0186,0.2,89.01,10.78
CU0187,0.31,89.01,10.68
CU0188,0.1,91.86,8.04
CU0189,0.41,86.78,12.82
CU0190,0.2,92.27,7.53
CU0191,0.41,92.47,7.12
CU0192,0.1,89.83,10.07
CU0193,0.2,90.74,9.05
CU0194,0.2,87.69,12.11
CU0195,0.31,91.86,7.83
CU0196,0.31,92.07,7.63
CU0197,0.2,87.59,12.21
CU0198,0.2,90.44,9.36
CU0199,0.2,90.23,9.56
CU0200,0.31,78.33,21.36
CU0201,0.2,91.96,7.83
CU0202,0.81,88.4,10.78
DOE5D-0742,17.19,81.28,1.53
DOE5F-1164,7.63,86.67,5.7
DOE5G-1240,21.26,75.89,2.85
DOE5H-1556,20.65,78.84,0.51
JVLJ-690-1,2.34,86.98,10.68
JVLJ-690-11,3.26,84.54,12.21
JVLJ-690-13,3.76,81.89,14.34
JVLJ-690-15,3.76,84.84,11.39
JVLJ-690-17,3.87,85.96,10.17
JVLJ-690-19,2.44,84.44,13.12
JVLJ-690-3,1.93,83.42,14.65
JVLJ-690-5,2.54,84.33,13.12
JVLJ-690-7,2.44,85.15,12.41
JVLJ-690-9,2.95,84.64,12.41
Q44,3.56,89.01,7.43
S0088,0.1,95.22,4.68
S0133,18.82,78.84,2.34
S0146,10.99,85.86,3.15
S0215,0.41,97.36,2.24
S0351,0.2,96.13,3.66
S0398,0.81,95.42,3.76
S0569,0.71,95.52,3.76
S0615,11.5,83.21,5.29
S0619,8.14,87.08,4.78
S0620,5.09,83.32,11.6
S0621,7.63,88.1,4.27
S0645,2.75,87.69,9.56
S0728,12.61,83.83,3.56
S0768,23.3,73.55,3.15
S0795,0.61,94.3,5.09
S0881,24.42,69.99,5.6
S0887,21.06,74.47,4.48
S0928,20.04,75.89,4.07
S0965,14.75,79.55,5.7
S0985,16.89,80.16,2.95
S1057,24.11,69.79,6.1
S1065,12.11,84.13,3.76
S1087,10.89,84.23,4.88
S1099,21.06,74.57,4.37
S1106,23.91,71.72,4.37
S1207,20.35,75.58,4.07
S1248,16.28,79.25,4.48
S1260,23.19,74.57,2.24
S1390,18.82,74.47,6.71
S1433,18.31,79.86,1.83
S1439,22.18,73.65,4.17
S1465,13.84,82.6,3.56
S1478,19.63,77.42,2.95
S1484,19.63,77.52,2.85
S1526,24.01,72.23,3.76
S1538,22.48,74.36,3.15
S1553,19.94,76.6,3.46
S1567,24.82,70.3,4.88
S1569,19.02,78.23,2.75
S1579,19.84,76.3,3.87
S1601,0.2,95.32,4.48
S1602,0.1,98.88,1.02
S1603,0.2,97.86,1.93
S1604,0.92,97.56,1.53
S1605,0.61,96.85,2.54
S1606,0.41,97.86,1.73
S1607,0.51,89.22,10.27
S1609,0.61,96.74,2.64
S1610,0.51,95.12,4.37
S1613,0.51,95.83,3.66
S1615,1.12,97.66,1.22
S1616,1.12,95.52,3.36
S1617,0.71,97.25,2.03
S1621,0.51,96.03,3.46
S1623,0.31,96.64,3.05
S1624,0.31,98.17,1.53
S1625,0.41,97.46,2.14
S1626,0.41,94.3,5.29
S1627,0.51,98.07,1.42
S1628,0.31,98.37,1.32
S1629,0.51,95.52,3.97
S1630,0.41,93.29,6.31
S1631,0.31,97.66,2.03
S1633,0.2,97.66,2.14
S1634,0.41,95.73,3.87
S1635,0.1,97.15,2.75
S1636,0.41,97.56,2.03
S1637,0.31,97.86,1.83
S1638,0.31,96.03,3.66
S1639,0.31,94.51,5.19
S1640,0.81,94.61,4.58
S1642,0.61,94.81,4.58
S1643,0.51,95.73,3.76
S1644,0.71,94.1,5.19
S1645,0.51,94.61,4.88
S1646,0.31,93.08,6.61
S1647,0.81,93.29,5.9
S1648,0.31,94.2,5.49
S1649,0.51,94.2,5.29
S1650,0.51,89.62,9.87
S1651,0.61,95.22,4.17
S1652,0.31,97.76,1.93
S1653,0.71,96.64,2.64
S1654,0.1,97.05,2.85
S1655,0.92,94.2,4.88
S1656,0.31,95.63,4.07
S1657,0.41,97.15,2.44
S1658,0.41,94.71,4.88
S1659,0.61,94.3,5.09
S1660,0.31,94.91,4.78
S1661,0.61,92.17,7.22
S1662,0.51,94.2,5.29
S1663,10.38,85.45,4.17
S1664,18.62,78.43,2.95
S1665,21.97,74.36,3.66
S1666,11.7,85.35,2.95
S1667,19.74,75.89,4.37
S1668,15.87,79.86,4.27
S1669,18.72,79.04,2.24
S1670,19.33,75.58,5.09
S1671,18.31,77.21,4.48
S1672,20.96,75.28,3.76
S1673,21.97,73.45,4.58
S1674,19.63,71.92,8.44
S1675,14.85,81.08,4.07
S1676,20.45,75.79,3.76
S1677,19.94,75.38,4.68
S1678,22.18,75.28,2.54
S1679,14.34,81.79,3.87
S1680,19.02,77.01,3.97
S1681,16.99,79.35,3.66
S1682,20.04,76.09,3.87
S1683,18.82,77.72,3.46
S1684,20.14,76.3,3.56
S1685,17.29,78.33,4.37
S1686,12.61,79.25,8.14
S1687,13.53,83.52,2.95
S1688,23.09,72.43,4.48
S1689,24.72,69.68,5.6
S1690,22.79,75.28,1.93
S1691,27.16,71.01,1.83
S1692,22.99,72.94,4.07
S1693,24.11,70.91,4.98
S1694,21.57,75.69,2.75
S1695,25.13,71.52,3.36
S1696,18.41,78.64,2.95
S1697,26.86,67.34,5.8
S1698,24.72,70.3,4.98
S1699,14.24,82.6,3.15
S1700,23.6,72.53,3.87
S1701,22.48,73.86,3.66
S1702,19.53,75.99,4.48
S1703,23.91,71.11,4.98
S1704,28.08,68.46,3.46
S1705,27.47,70.3,2.24
S1706,23.3,72.94,3.76
S1707,12.41,86.27,1.32
S1708,18.11,79.04,2.85
S1799,13.02,77.62,9.36
S1800,18.11,77.72,4.17
S1801,13.33,84.23,2.44
S1802,11.7,85.25,3.05
S1803,17.9,78.84,3.26
S1804,9.56,87.89,2.54
S1805,11.39,85.15,3.46
S1806,14.55,83.11,2.34
S1807,17.8,78.43,3.76
S1808,16.38,81.28,2.34
S1809,11.7,85.05,3.26
S1810,22.28,75.08,2.64
S1812,10.17,82.81,7.02
S1813,9.05,88.3,2.64
S1814,14.34,84.44,1.22
S1815,17.5,80.87,1.63
S1816,20.35,77.52,2.14
S1817,18.41,77.01,4.58
S1818,27.98,70.09,1.93
S1819,24.62,73.35,2.03
S1820,21.46,76.6,1.93
S1821,19.33,75.79,4.88
S1822,9.97,86.47,3.56
S1823,19.94,77.01,3.05
S1824,12.72,82.3,4.98
S1825,18.11,77.31,4.58
S1826,21.57,73.45,4.98
S1827,19.13,77.62,3.26
S1828,19.33,77.62,3.05
S1829,20.75,75.58,3.66
S1830,8.65,87.69,3.66
S1831,19.13,75.58,5.29
S1832,17.8,74.36,7.83
S1833,13.43,79.45,7.12
S1834,20.35,73.04,6.61
S1835,19.94,72.02,8.04
S1836,13.02,80.77,6.21
S1837,10.99,85.96,3.05
S1838,15.06,81.28,3.66
S1839,12.11,84.23,3.66
S1840,6.1,89.42,4.48
S1841,19.43,77.01,3.56
S1842,12.72,81.99,5.29
S1843,20.14,77.01,2.85
S1844,15.36,80.98,3.66
S1851,0.51,93.29,6.21
SL-10,2.75,63.68,33.57
SL-11,4.58,70.91,24.52
SL-12,4.88,67.85,27.26
SL-14,2.95,67.14,29.91
SL-15,2.03,64.19,33.77
SL-16,2.24,62.67,35.1
SL-17,7.22,54.32,38.45
SL-18,2.54,65.21,32.25
SL-19,2.95,61.75,35.3
SL-2,2.24,64.8,32.96
SL-20,3.15,68.87,27.98
SL-21,3.66,67.96,28.38
SL-22,3.15,69.07,27.77
SL-23,2.54,65.31,32.15
SL-24,3.87,71.21,24.92
SL-3,2.24,63.68,34.08
SL-4,2.54,64.29,33.16
SL-5,2.34,65.21,32.45
SL-6,2.85,64.39,32.76
SL-7,2.34,65.41,32.25
SL-8,2.34,67.55,30.11
SL-9,3.56,71.11,25.33
SYN042,0.61,95.12,4.27
SYN049,0.61,94.81,4.58
SYN064,1.02,94.1,4.88
SYN070,0.41,96.13,3.46
SYN072,0.41,94.61,4.98
SYN077,0.41,96.64,2.95
SYN083,0.2,96.34,3.46
SYN088,0.31,96.95,2.75
SYN094,0.51,96.24,3.26
SYN096,0.71,97.15,2.14
SYN130,0.51,90.34,9.16
SYN140,0,93.79,6.21
SYN146,0.41,94,5.6
SYN150,0.31,94.91,4.78
SYN153,0.31,95.02,4.68
SYN162,0.41,93.69,5.9
SYN163,0.2,95.73,4.07
SYN164,0.41,96.54,3.05
SYN165,0.51,96.03,3.46
SYN172,0,96.13,3.87
SYN195,0.31,95.83,3.87
SYN199,0.31,90.64,9.05
SYN209,0.1,93.39,6.51
SYN212,0.31,95.12,4.58
SYN214,0.2,96.64,3.15
SYN240,0.1,96.74,3.15
SYN247,1.02,95.32,3.66
SYN262,0.31,95.52,4.17
TA002,20.04,78.54,1.42
TA005,20.75,78.13,1.12
TA009,17.5,81.28,1.22
TA013,15.06,83.42,1.53
TA014,14.34,84.03,1.63
TA023,19.94,78.54,1.53
TA024,24.31,73.75,1.93
TA025,21.77,76.91,1.32
TA026,19.23,79.25,1.53
TA029,25.23,73.65,1.12
TA037,23.5,75.18,1.32
TA038,22.08,76.6,1.32
TA043,17.29,81.69,1.02
TA044,19.13,79.35,1.53
TA045,10.38,87.49,2.14
TA046,8.75,89.22,2.03
TA049,16.99,81.28,1.73
TA050,14.04,84.03,1.93
TA057,22.79,75.18,2.03
TA062,21.57,77.01,1.42
TA063,19.74,78.84,1.42
TA069,20.24,77.82,1.93
TA070,21.16,77.21,1.63
TA077,25.03,72.53,2.44
TA085,15.87,82.2,1.93
TA086,19.13,79.04,1.83
TA097,19.23,79.25,1.53
TA098,17.5,81.79,0.71
TA102,11.29,86.67,2.03
TA103,21.26,76.81,1.93
TA105,24.72,73.35,1.93
TA109,18.31,80.16,1.53
TA117,14.14,84.33,1.53
TA122,11.8,86.57,1.63
TA123,11.29,87.49,1.22
TA125,21.87,76.6,1.53
TA129,22.38,75.99,1.63
TA130,21.97,75.89,2.14
TA133,19.13,80.26,0.61
TA134,17.8,80.47,1.73
TA137,24.92,73.86,1.22
TA143,23.8,74.26,1.93
TA145,20.85,77.42,1.73
TA149,20.45,78.13,1.42
TA150,21.36,78.03,0.61
TA153,23.19,75.28,1.53
TA157,24.72,74.16,1.12
TA163,26.55,71.31,2.14
TA169,22.89,75.89,1.22
TA170,19.94,79.15,0.92
TA177,23.09,75.38,1.53
TA178,21.26,77.62,1.12
TA182,4.58,93.79,1.63
TA183,13.53,84.54,1.93
TA194,21.16,77.21,1.63
TA195,21.57,76.81,1.63
TA197,16.28,82.2,1.53
TA198,15.87,83.01,1.12
TA202,13.33,82.5,4.17
TA205,25.84,72.63,1.53
TA209,22.18,76.3,1.53
TA210,20.14,78.23,1.63
TA215,14.65,84.03,1.32
TA216,18.41,79.25,2.34
TA217,22.58,76.5,0.92
TA222,15.77,82.4,1.83
TA223,16.68,81.99,1.32
TA225,22.28,76.5,1.22
TA237,18.62,79.25,2.14
TA238,22.58,75.48,1.93
TA242,26.35,72.13,1.53
TA245,21.06,77.92,1.02
TA249,23.91,74.67,1.42
TA253,11.8,86.78,1.42
TA257,22.18,75.18,2.64
TA258,22.79,75.69,1.53
TA263,21.77,76.4,1.83
TA269,11.7,86.67,1.63
TA270,12.21,85.96,1.83
TA277,14.55,83.72,1.73
TA278,15.46,81.79,2.75
TA285,23.7,74.57,1.73
TA289,21.16,76.91,1.93
TA290,22.18,75.48,2.34
TA293,25.53,73.45,1.02
TA297,22.69,74.97,2.34
TA302,8.75,86.67,4.58
TA303,15.67,81.59,2.75
TA449,13.94,84.33,1.73
TAMex0003.2,20.85,71.01,8.14
TAMex0004.1,18.11,74.87,7.02
TAMex0005.1,24.72,68.06,7.22
TAMex0007.1,16.48,77.82,5.7
TAMex0010.3,19.43,67.24,13.33
TAMex0014.1,18.72,75.48,5.8
TAMex0021.1,25.64,68.06,6.31
TAMex0023.3,22.18,72.02,5.8
TAMex0024.1,26.35,70.6,3.05
TAMex0025.2,18.62,76.81,4.58
TAMex0026.1,23.5,71.92,4.58
TAMex0027.2,11.9,81.69,6.41
TAMex0028.1,24.21,70.4,5.39
TAMex0031.1,9.97,85.05,4.98
TAMex0032.1,20.04,75.48,4.48
TAMex0033.1,20.24,57.78,21.97
TAMex0035.1,20.65,72.02,7.32
TAMex0036.2,21.77,72.94,5.29
TAMex0037.1,20.04,76.81,3.15
TAMex0038.1,22.79,73.86,3.36
TAMex0039.1,22.28,74.67,3.05
TAMex0043.1,22.99,69.68,7.32
TAMex0045.2,23.09,74.57,2.34
TAMex0046.1,21.16,73.65,5.19
TAMex0047.1,23.5,73.55,2.95
TAMex0048.1,19.63,75.58,4.78
TAMex0050.1,11.19,83.01,5.8
TAMex0052.1,24.52,69.07,6.41
TAMex0065.3,18.31,75.48,6.21
TAMex0067.2,23.91,72.84,3.26
TAMex0068.1,22.28,73.14,4.58
TAMex0069.1,19.94,76.09,3.97
TAMex0070.1,24.11,71.01,4.88
TAMex0071.3,24.72,72.02,3.26
TAMex0073.2,22.69,71.31,6
TAMex0076.1,21.97,74.57,3.46
TAMex0077.1,26.55,69.99,3.46
TAMex0078.1,25.64,67.85,6.51
TAMex0079.1,26.25,68.57,5.19
TAMex0082.1,24.52,71.21,4.27
TAMex0083.1,21.57,75.08,3.36
TAMex0090.1,22.89,73.04,4.07
TAMex0091.1,22.89,71.72,5.39
TAMex0092.1,20.35,76.4,3.26
TAMex0093.1,20.45,73.04,6.51
TAMex0094.1,23.5,72.74,3.76
TAMex0095.3,24.82,71.31,3.87
TAMex0100.2,22.08,73.65,4.27
TAMex0103.2,23.19,69.99,6.82
