Sample_ID,Heterozygous,Homozygous,Missing
ZDP_0234b,19.33,77.52,3.15
ZDP_0235a,15.56,80.77,3.66
ZDP_0236a,17.19,79.25,3.56
ZDP_0237a,14.34,80.37,5.29
ZDP_0238a,12.51,85.66,1.83
ZDP_0239a,14.65,82.3,3.05
ZDP_0240b,16.68,78.43,4.88
ZDP_0241a,16.28,74.97,8.75
ZDP_0242b,15.56,76.7,7.73
ZDP_0243a,19.43,74.97,5.6
ZDP_0244b,16.58,80.77,2.64
ZDP_0245b,20.24,76.3,3.46
ZDP_0246b,23.8,71.21,4.98
ZDP_0247b,18.51,77.72,3.76
ZDP_0248a,21.16,74.67,4.17
ZDP_0249b,21.97,74.77,3.26
ZDP_0250a,9.66,85.25,5.09
ZDP_0251a,21.57,70.91,7.53
ZDP_0252b,18.41,77.31,4.27
ZDP_0253a,17.6,77.92,4.48
ZDP_0254a,16.58,77.31,6.1
ZDP_0255a,12.72,80.77,6.51
ZDP_0256a,15.56,79.76,4.68
ZDP_0257a,14.34,78.94,6.71
ZDP_0258a,17.7,77.21,5.09
ZDP_0259a,19.23,74.87,5.9
ZDP_0261a,13.84,78.13,8.04
ZDP_0262a,17.29,80.98,1.73
ZDP_0263b,15.16,77.92,6.92
ZDP_0264a,12.92,82.1,4.98
ZDP_0265b,15.36,79.76,4.88
ZDP_0266b,16.38,75.79,7.83
ZDP_0267a,14.14,76.91,8.95
ZDP_0268b,13.43,82.5,4.07
ZDP_0269b,16.28,80.67,3.05
ZDP_0270a,9.36,83.93,6.71
ZDP_0271a,9.05,85.05,5.9
ZDP_0272a,17.29,76.5,6.21
ZDP_0273a,9.97,83.01,7.02
ZDP_0274a,7.93,86.16,5.9
ZDP_0275b,7.12,88.3,4.58
ZDP_0276b,9.16,81.99,8.85
ZDP_0277a,15.87,80.87,3.26
ZDP_0278a,15.97,80.06,3.97
ZDP_0279a,10.78,83.32,5.9
ZDP_0280a,16.99,80.77,2.24
ZDP_0281b,13.53,84.13,2.34
ZDP_0282b,16.17,79.04,4.78
ZDP_0283a,18.62,76.5,4.88
ZDP_0284b,19.33,77.21,3.46
ZDP_0285b,14.04,78.84,7.12
ZDP_0286b,14.24,80.37,5.39
ZDP_0287a,13.02,79.96,7.02
ZDP_0288a,11.39,84.94,3.66
ZDP_0290a,12,86.06,1.93
ZDP_0291a,15.36,79.35,5.29
ZDP_0292a,19.13,76.6,4.27
ZDP_0293a,19.13,77.31,3.56
ZDP_0294a,9.66,83.42,6.92
ZDP_0295a,9.16,85.66,5.19
ZDP_0296a,14.04,80.77,5.19
ZDP_0297a,12.82,83.62,3.56
ZDP_0298a,16.99,79.65,3.36
ZDP_0299a,15.36,80.16,4.48
ZDP_0300a,15.97,82.4,1.63
ZDP_0301a,15.36,81.69,2.95
ZDP_0302a,17.9,77.62,4.48
ZDP_0303a,20.35,75.69,3.97
ZDP_0304b,18.72,72.33,8.95
ZDP_0305a,6.31,91.76,1.93
ZDP_0306a,18.82,77.72,3.46
ZDP_0307a,10.99,87.59,1.42
ZDP_0308a,17.4,79.96,2.64
ZDP_0309a,18.21,78.23,3.56
ZDP_0310a,16.28,81.38,2.34
ZDP_0311a,12.72,81.79,5.49
ZDP_0312a,15.46,82.71,1.83
ZDP_0313b,17.8,76.09,6.1
ZDP_0314a,17.09,79.96,2.95
ZDP_0315a,12.31,83.72,3.97
ZDP_0316a,18.72,77.72,3.56
ZDP_0317a,19.84,77.01,3.15
ZDP_0318a,14.75,83.32,1.93
ZDP_0319a,15.87,80.37,3.76
ZDP_0320a,12.21,83.21,4.58
ZDP_0321b,15.97,82.2,1.83
ZDP_0322a,12.92,82.4,4.68
ZDP_0323a,15.77,80.06,4.17
ZDP_0324b,17.29,78.94,3.76
ZDP_0325a,15.56,80.87,3.56
ZDP_0326a,14.34,80.57,5.09
ZDP_0327a,12.51,83.52,3.97
ZDP_0328a,18.72,77.11,4.17
ZDP_0329a,13.94,83.93,2.14
ZDP_0330b,11.9,84.84,3.26
ZDP_0331a,14.34,81.99,3.66
ZDP_0332b,21.87,75.18,2.95
ZDP_0333b,9.87,87.08,3.05
ZDP_0334a,17.29,75.89,6.82
ZDP_0335a,10.07,86.06,3.87
ZDP_0336b,17.19,80.87,1.93
ZDP_0337a,15.16,81.59,3.26
ZDP_0338b,20.96,76.3,2.75
ZDP_0339a,17.9,76.7,5.39
ZDP_0340a,16.79,79.76,3.46
ZDP_0341a,19.33,78.74,1.93
ZDP_0342a,18.92,76.81,4.27
ZDP_0343a,20.55,77.31,2.14
ZDP_0344a,19.02,79.55,1.42
ZDP_0345a,14.04,81.69,4.27
ZDP_0346a,13.33,84.64,2.03
ZDP_0347b,18.72,79.65,1.63
ZDP_0348a,16.28,80.77,2.95
ZDP_0349a,19.43,78.64,1.93
ZDP_0350a,16.38,80.16,3.46
ZDP_0351a,17.19,76.6,6.21
ZDP_0352a,17.4,76.3,6.31
ZDP_0353b,11.29,86.27,2.44
ZDP_0354a,14.95,83.52,1.53
ZDP_0355a,15.56,82.91,1.53
ZDP_0356a,14.04,83.62,2.34
ZDP_0357a,19.33,78.03,2.64
ZDP_0358a,17.09,78.94,3.97
ZDP_0359a,13.33,83.93,2.75
ZDP_0360b,16.38,78.84,4.78
ZDP_0361a,20.24,76.91,2.85
ZDP_0362a,24.31,73.35,2.34
ZDP_0363b,16.07,81.28,2.64
ZDP_0364b,15.77,82.1,2.14
ZDP_0365b,13.02,84.23,2.75
ZDP_0366b,17.4,79.35,3.26
ZDP_0367b,12.72,83.52,3.76
ZDP_0368b,13.53,80.26,6.21
ZDP_0369b,15.56,81.38,3.05
ZDP_0370b,16.68,81.59,1.73
ZDP_0371a,13.73,84.44,1.83
ZDP_0372a,20.85,70.5,8.65
ZDP_0373b,14.65,83.11,2.24
ZDP_0374a,18.41,78.74,2.85
ZDP_0375a,13.94,80.37,5.7
ZDP_0376a,14.24,83.21,2.54
ZDP_0377a,13.43,82.4,4.17
ZDP_0378a,15.16,82.5,2.34
ZDP_0379a,12,84.54,3.46
ZDP_0380a,20.85,73.35,5.8
ZDP_0381a,24.01,69.38,6.61
ZDP_0382a,14.85,79.76,5.39
ZDP_0383a,20.75,76.7,2.54
ZDP_0384a,19.74,74.97,5.29
ZDP_0385a,14.04,78.33,7.63
ZDP_0386a,18.21,77.42,4.37
ZDP_0387a,18.72,78.03,3.26
ZDP_0388a,16.28,79.55,4.17
ZDP_0389a,9.56,85.55,4.88
ZDP_0391a,25.53,69.99,4.48
ZDP_0392a,12.92,85.05,2.03
ZDP_0393a,23.6,73.55,2.85
ZDP_0394a,23.6,72.84,3.56
ZDP_0395a,12.11,85.25,2.64
ZDP_0396a,11.6,85.15,3.26
ZDP_0397a,19.74,78.74,1.53
ZDP_0398a,12.72,84.64,2.64
ZDP_0399a,16.58,80.26,3.15
ZDP_0400a,15.36,80.87,3.76
ZDP_0401a,16.68,80.37,2.95
ZDP_0402a,17.09,80.98,1.93
ZDP_0403a,19.13,75.58,5.29
ZDP_0404a,17.9,78.33,3.76
ZDP_0405a,22.69,75.08,2.24
ZDP_0406a,18.92,77.62,3.46
ZDP_0407a,16.17,79.45,4.37
ZDP_0408a,16.38,80.77,2.85
ZDP_0409a,12.51,84.94,2.54
ZDP_0410a,21.36,75.08,3.56
ZDP_0411a,16.48,79.96,3.56
ZDP_0412a,21.36,73.65,4.98
ZDP_0413a,23.7,72.53,3.76
ZDP_0414a,20.85,74.06,5.09
ZDP_0415a,17.6,79.86,2.54
ZDP_0416a,19.63,77.72,2.64
ZDP_0417a,14.04,81.79,4.17
ZDP_0418a,13.22,82.6,4.17
ZDP_0419a,17.19,80.37,2.44
ZDP_0420a,12.72,83.42,3.87
ZDP_0421a,14.65,83.93,1.42
ZDP_0422a,18.31,78.33,3.36
ZDP_0423a,18.72,77.72,3.56
ZDP_0424a,19.43,78.94,1.63
ZDP_0425a,18.82,75.58,5.6
ZDP_0426a,20.45,77.31,2.24
ZDP_0427a,16.07,80.37,3.56
ZDP_0428a,16.79,78.03,5.19
ZDP_0429a,17.09,81.28,1.63
ZDP_0430a,18.72,78.84,2.44
ZDP_0431a,20.96,75.69,3.36
ZDP_0432a,19.53,76.2,4.27
ZDP_0433a,18.72,73.04,8.24
ZDP_0434a,24.82,70.5,4.68
ZDP_0435a,16.17,80.16,3.66
ZDP_0436a,17.9,77.92,4.17
ZDP_0437a,18.82,78.43,2.75
ZDP_0438a,17.29,81.28,1.42
ZDP_0439a,18.51,78.94,2.54
ZDP_0440a,15.77,81.18,3.05
ZDP_0441a,16.48,82.5,1.02
ZDP_0442a,15.26,81.99,2.75
ZDP_0443a,17.7,77.21,5.09
ZDP_0444a,14.85,82.5,2.64
ZDP_0445a,19.63,77.42,2.95
ZDP_0446a,19.63,75.48,4.88
ZDP_0447a,15.36,80.57,4.07
ZDP_0448a,20.45,74.87,4.68
ZDP_0449a,19.02,79.55,1.42
ZDP_0450a,15.67,80.16,4.17
ZDP_0451a,11.39,85.35,3.26
ZDP_0452a,13.22,82.81,3.97
ZDP_0453a,13.02,84.84,2.14
ZDP_0454a,14.75,81.59,3.66
ZDP_0455a,17.4,80.37,2.24
ZDP_0456a,15.87,80.57,3.56
ZDP_0457a,23.6,74.57,1.83
ZDP_0458a,19.02,77.92,3.05
ZDP_0460a,18.21,76.91,4.88
ZDP_0461a,15.46,83.11,1.42
ZDP_0462a,19.43,75.58,4.98
ZDP_0463a,15.97,80.67,3.36
ZDP_0464a,16.38,79.76,3.87
ZDP_0465a,16.48,80.37,3.15
ZDP_0466a,15.16,80.06,4.78
ZDP_0467a,18.21,75.89,5.9
ZDP_0468a,22.69,73.86,3.46
ZDP_0469a,16.17,79.15,4.68
ZDP_0470a,20.65,75.48,3.87
ZDP_0471a,20.35,77.11,2.54
ZDP_0472a,17.5,76.7,5.8
ZDP_0473a,19.53,77.21,3.26
ZDP_0474a,20.85,74.06,5.09
ZDP_0475a,19.84,76.7,3.46
ZDP_0476a,14.45,81.99,3.56
ZDP_0477a,18.31,78.13,3.56
ZDP_0478a,17.5,78.33,4.17
ZDP_0479a,22.48,72.84,4.68
ZDP_0480a,14.55,80.57,4.88
ZDP_0481a,22.69,75.18,2.14
ZDP_0482a,20.14,76.91,2.95
ZDP_0483a,18.01,79.76,2.24
ZDP_0484a,13.43,81.99,4.58
ZDP_0485a,23.7,72.94,3.36
ZDP_0486a,17.09,79.65,3.26
ZDP_0487a,15.87,81.18,2.95
ZDP_0488a,12.51,83.42,4.07
ZDP_0489a,17.4,81.38,1.22
ZDP_0490a,18.11,80.47,1.42
ZDP_0491a,23.7,72.94,3.36
ZDP_0492a,17.29,72.63,10.07
ZDP_0493a,24.31,73.35,2.34
ZDP_0494a,11.19,85.76,3.05
ZDP_0495a,14.75,80.87,4.37
ZDP_0496a,21.67,74.87,3.46
ZDP_0497a,23.5,74.26,2.24
ZDP_0498a,12.11,83.52,4.37
ZDP_0499b,22.08,73.55,4.37
ZDP_0500a,12.72,83.11,4.17
ZDP_0501a,22.18,73.75,4.07
ZDP_0502a,17.7,76.2,6.1
ZDP_0503a,23.4,73.65,2.95
ZDP_0504a,20.75,74.97,4.27
ZDP_0505a,21.67,72.53,5.8
ZDP_0506a,15.77,79.86,4.37
ZDP_0507a,19.84,77.21,2.95
ZDP_0508a,21.36,74.67,3.97
ZDP_0509b,24.52,72.13,3.36
ZDP_0510b,18.72,79.86,1.42
ZDP_0511a,20.35,76.91,2.75
ZDP_0512a,21.36,74.77,3.87
ZDP_0513b,16.38,80.67,2.95
ZDP_0514a,22.08,75.18,2.75
ZDP_0515a,18.21,80.16,1.63
ZDP_0516a,24.11,72.84,3.05
ZDP_0517b,19.43,78.74,1.83
ZDP_0518a,24.92,72.53,2.54
ZDP_0519a,14.04,82.5,3.46
ZDP_0520b,13.53,84.94,1.53
ZDP_0521a,19.33,78.33,2.34
ZDP_0522a,22.18,73.35,4.48
ZDP_0523a,15.36,78.54,6.1
ZDP_0524a,17.8,79.35,2.85
ZDP_0525a,20.65,76.81,2.54
ZDP_0526a,19.53,58.8,21.67
ZDP_0527a,18.51,75.89,5.6
ZDP_0528a,21.87,75.79,2.34
ZDP_0529a,21.36,72.43,6.21
ZDP_0530a,22.58,75.48,1.93
ZDP_0531a,19.74,74.67,5.6
ZDP_0532a,21.36,73.65,4.98
ZDP_0533a,22.08,73.86,4.07
ZDP_0534a,16.48,80.57,2.95
ZDP_0535a,18.11,80.47,1.42
ZDP_0536b,17.7,81.18,1.12
ZDP_0537b,20.85,77.72,1.42
ZDP_0538a,18.51,77.21,4.27
ZDP_0539b,17.4,79.65,2.95
ZDP_0540b,17.8,79.55,2.64
ZDP_0541a,17.19,79.25,3.56
ZDP_0542a,19.02,77.01,3.97
ZDP_0543a,18.51,78.84,2.64
ZDP_0544a,7.83,88.61,3.56
ZDP_0545a,12.41,84.33,3.26
ZDP_0546a,18.31,80.16,1.53
ZDP_0547a,19.13,75.69,5.19
ZDP_0548a,23.09,73.35,3.56
ZDP_0549a,11.9,86.16,1.93
ZDP_0550a,22.58,59.31,18.11
ZDP_0551a,14.34,83.52,2.14
ZDP_0552a,19.53,75.89,4.58
ZDP_0553a,14.34,83.62,2.03
ZDP_0554a,20.04,75.38,4.58
ZDP_0555a,16.28,81.69,2.03
ZDP_0556a,14.45,84.44,1.12
ZDP_0557a,17.9,79.35,2.75
ZDP_0558a,15.97,80.16,3.87
ZDP_0559a,25.43,71.41,3.15
ZDP_0560a,20.75,71.62,7.63
ZDP_0561a,21.57,76.91,1.53
ZDP_0562a,13.53,81.28,5.19
ZDP_0563a,13.53,84.84,1.63
ZDP_0564a,15.36,81.18,3.46
ZDP_0565a,13.63,83.83,2.54
ZDP_0566a,20.75,73.86,5.39
ZDP_0567a,23.19,72.13,4.68
ZDP_0568a,24.62,69.99,5.39
ZDP_0569a,18.31,76.5,5.19
ZDP_0570a,21.57,75.38,3.05
ZDP_0571a,17.29,78.84,3.87
ZDP_0572a,14.65,80.57,4.78
ZDP_0573a,25.03,69.28,5.7
ZDP_0574a,17.8,77.72,4.48
ZDP_0575a,18.72,76.3,4.98
ZDP_0576a,11.39,82.5,6.1
ZDP_0577a,18.92,76.91,4.17
ZDP_0578a,23.7,73.86,2.44
ZDP_0579a,21.97,74.26,3.76
ZDP_0580a,8.95,89.62,1.42
ZDP_0581a,16.28,82.3,1.42
ZDP_0582a,13.84,81.99,4.17
ZDP_0583a,14.95,83.32,1.73
ZDP_0584a,19.23,77.21,3.56
ZDP_0585a,18.72,76.7,4.58
ZDP_0586a,11.09,82.3,6.61
ZDP_0587a,15.36,81.08,3.56
ZDP_0588a,19.74,75.18,5.09
ZDP_0589a,19.13,76.4,4.48
ZDP_0590a,17.8,77.92,4.27
ZDP_0591a,14.65,81.08,4.27
ZDP_0592a,13.84,81.79,4.37
ZDP_0593a,19.23,74.97,5.8
ZDP_0594a,14.04,84.23,1.73
ZDP_0595a,11.19,87.49,1.32
ZDP_0596a,13.73,78.64,7.63
ZDP_0597a,12.21,83.21,4.58
ZDP_0598a,17.9,80.16,1.93
ZDP_0599a,18.41,76.91,4.68
ZDP_0600a,25.43,70.91,3.66
ZDP_0601a,14.65,82.5,2.85
ZDP_0602a,20.96,72.63,6.41
ZDP_0603a,13.63,83.93,2.44
ZDP_0604a,15.36,82.71,1.93
ZDP_0605a,12.61,80.37,7.02
ZDP_0606a,24.42,73.65,1.93
ZDP_0607a,21.26,77.72,1.02
ZDP_0608a,21.77,71.92,6.31
ZDP_0609a,23.91,68.87,7.22
ZDP_0610a,23.5,69.58,6.92
ZDP_0611a,14.14,78.13,7.73
ZDP_0612a,17.5,75.38,7.12
ZDP_0613a,15.46,77.52,7.02
ZDP_0614a,18.31,77.52,4.17
ZDP_0615a,13.43,80.26,6.31
ZDP_0616a,17.5,77.21,5.29
ZDP_0617a,11.09,85.76,3.15
ZDP_0618a,12.92,83.52,3.56
ZDP_0619a,21.46,72.02,6.51
ZDP_0620a,18.62,71.72,9.66
ZDP_0621a,25.43,66.23,8.34
ZDP_0622a,13.33,78.54,8.14
ZDP_0623a,12.92,82.5,4.58
ZDP_0624a,15.97,79.25,4.78
ZDP_0625b,23.8,68.57,7.63
ZDP_0626a,21.06,73.25,5.7
ZDP_0627b,7.02,89.11,3.87
ZDP_0628a,19.33,78.23,2.44
ZDP_0629a,21.87,72.13,6
ZDP_0630a,21.67,74.36,3.97
ZDP_0631a,10.68,82.4,6.92
ZDP_0632a,23.8,72.84,3.36
ZDP_0633a,5.19,86.78,8.04
ZDP_0634a,16.38,78.03,5.6
ZDP_0635b,19.84,77.52,2.64
ZDP_0636b,16.07,78.64,5.29
ZDP_0637b,13.53,83.62,2.85
ZDP_0638b,16.07,81.38,2.54
ZDP_0639a,21.46,72.63,5.9
ZDP_0640b,11.8,85.25,2.95
ZDP_0641a,12.31,84.94,2.75
ZDP_0642a,14.85,79.45,5.7
ZDP_0643a,23.5,70.5,6
ZDP_0644a,15.46,82.1,2.44
ZDP_0645a,18.31,78.64,3.05
ZDP_0646a,17.09,78.33,4.58
ZDP_0647b,23.7,70.19,6.1
ZDP_0648b,22.48,72.13,5.39
ZDP_0649a,21.97,76.5,1.53
ZDP_0650a,20.04,75.48,4.48
ZDP_0651a,23.3,72.94,3.76
ZDP_0652b,20.96,73.65,5.39
ZDP_0653b,15.26,79.15,5.6
ZDP_0654b,20.75,74.36,4.88
ZDP_0655b,15.97,79.86,4.17
ZDP_0656b,16.07,78.64,5.29
ZDP_0657b,19.94,74.87,5.19
ZDP_0658b,20.75,76.7,2.54
ZDP_0659b,19.53,75.58,4.88
ZDP_0660b,18.72,75.69,5.6
ZDP_0661b,17.5,79.25,3.26
ZDP_0662b,11.29,84.23,4.48
ZDP_0663b,15.56,78.94,5.49
ZDP_0664b,13.63,83.62,2.75
ZDP_0665b,12.41,81.69,5.9
ZDP_0666a,15.67,80.87,3.46
ZDP_0667b,12.21,85.05,2.75
ZDP_0668b,17.9,78.54,3.56
ZDP_0669b,18.41,78.23,3.36
ZDP_0670b,17.4,78.13,4.48
ZDP_0671b,13.94,83.21,2.85
ZDP_0672b,18.51,79.04,2.44
ZDP_0673b,13.94,80.98,5.09
ZDP_0674b,14.24,78.13,7.63
ZDP_0675b,0.31,96.44,3.26
ZDP_0676b,17.7,79.15,3.15
ZDP_0677b,17.7,80.06,2.24
ZDP_0679b,15.36,78.23,6.41
ZDP_0680b,11.6,84.13,4.27
ZDP_0681b,23.5,73.25,3.26
ZDP_0682b,18.82,77.72,3.46
ZDP_0684b,16.58,71.92,11.5
ZDP_0685b,17.19,79.35,3.46
ZDP_0686b,20.35,77.21,2.44
ZDP_0687b,23.6,70.91,5.49
ZDP_0688b,15.56,80.26,4.17
ZDP_0689b,20.14,76.2,3.66
ZDP_0690b,23.09,73.75,3.15
ZDP_0691b,14.45,82.2,3.36
ZDP_0692b,19.63,77.52,2.85
ZDP_0693b,15.67,81.18,3.15
ZDP_0694b,13.53,83.72,2.75
ZDP_0695b,10.58,85.25,4.17
ZDP_0697b,7.73,87.89,4.37
ZDP_0698b,10.58,86.47,2.95
ZDP_0700b,22.28,75.69,2.03
ZDP_0701b,16.07,81.99,1.93
ZDP_0702b,10.68,84.03,5.29
ZDP_0703b,18.51,79.04,2.44
ZDP_0704b,15.16,80.67,4.17
ZDP_0705b,20.45,77.82,1.73
ZDP_0706b,13.02,82.6,4.37
ZDP_0707b,12.21,85.66,2.14
ZDP_0708a,21.46,71.82,6.71
ZDP_0709b,1.83,94.1,4.07
ZDP_0710b,23.7,74.87,1.42
ZDP_0711a,10.17,84.33,5.49
ZDP_0712b,12.72,85.96,1.32
ZDP_0713b,9.87,87.18,2.95
ZDP_0714b,3.46,93.39,3.15
ZDP_0715b,19.13,79.45,1.42
ZDP_0716b,16.58,80.06,3.36
ZDP_0717a,17.8,78.64,3.56
ZDP_0718b,0.81,98.07,1.12
ZDP_0719b,11.9,85.45,2.64
ZDP_0720a,18.92,77.31,3.76
ZDP_0721a,22.58,75.18,2.24
ZDP_0722a,19.94,77.62,2.44
ZDP_0723b,16.28,76.09,7.63
ZDP_0724a,18.62,68.26,13.12
ZDP_0725b,7.32,87.28,5.39
ZDP_0726a,17.7,77.31,4.98
ZDP_0727a,16.58,78.94,4.48
ZDP_0728a,18.01,78.74,3.26
ZDP_0729a,19.74,77.01,3.26
ZDP_0730a,17.8,80.06,2.14
ZDP_0731b,20.55,73.96,5.49
ZDP_0732b,22.38,73.04,4.58
ZDP_0733b,11.6,85.55,2.85
ZDP_0734b,18.62,76.3,5.09
ZDP_0735b,6.1,88.2,5.7
ZDP_0736b,10.38,86.88,2.75
ZDP_0737b,19.23,76.5,4.27
ZDP_0738b,14.85,82.6,2.54
ZDP_0739a,19.23,78.84,1.93
ZDP_0740a,22.99,72.53,4.48
ZDP_0741b,22.28,73.45,4.27
ZDP_0742a,21.77,74.26,3.97
ZDP_0743b,22.08,75.38,2.54
ZDP_0744a,19.84,77.11,3.05
ZDP_0745a,21.97,75.38,2.64
ZDP_0746b,17.4,79.25,3.36
ZDP_0747a,18.21,77.42,4.37
ZDP_0748b,17.6,79.25,3.15
ZDP_0749a,21.26,75.69,3.05
ZDP_0750a,21.97,74.77,3.26
ZDP_0751a,21.67,76.91,1.42
ZDP_0752a,17.09,80.67,2.24
ZDP_0753a,20.96,75.18,3.87
ZDP_0754b,17.8,76.3,5.9
ZDP_0755b,9.66,87.39,2.95
ZDP_0756b,15.97,81.79,2.24
ZDP_0757a,3.66,94.61,1.73
ZDP_0758b,19.53,76.7,3.76
ZDP_0759b,18.72,78.84,2.44
ZDP_0760b,1.12,96.54,2.34
ZDP_0761b,15.36,81.38,3.26
ZDP_0762a,20.04,78.23,1.73
ZDP_0763a,20.45,75.89,3.66
ZDP_0764a,20.75,77.62,1.63
ZDP_0765a,21.46,76.5,2.03
ZDP_0767a,6.92,89.22,3.87
ZDP_0768a,14.75,81.49,3.76
ZDP_0770a,18.82,77.82,3.36
ZDP_0771a,17.4,79.65,2.95
ZDP_0772b,6.92,91.66,1.42
ZDP_0773b,22.08,74.16,3.76
ZDP_0774b,23.4,72.63,3.97
ZDP_0775b,21.06,75.28,3.66
ZDP_0776a,19.02,77.82,3.15
ZDP_0777a,17.9,77.92,4.17
ZDP_0778a,3.26,91.25,5.49
ZDP_0779b,10.58,85.55,3.87
ZDP_0780b,18.11,78.74,3.15
ZDP_0781b,12.61,84.03,3.36
ZDP_0782a,17.9,80.57,1.53
ZDP_0783a,23.09,73.04,3.87
ZDP_0784b,22.58,74.16,3.26
ZDP_0785b,17.4,78.23,4.37
ZDP_0786a,16.17,80.47,3.36
ZDP_0787b,20.04,73.25,6.71
ZDP_0788b,13.73,83.32,2.95
ZDP_0790a,14.34,83.32,2.34
ZDP_0791a,0.81,94.91,4.27
ZDP_0792a,19.74,78.74,1.53
ZDP_0793a,23.5,73.55,2.95
ZDP_0794b,19.02,78.03,2.95
ZDP_0795a,22.58,73.25,4.17
ZDP_0796b,19.63,77.62,2.75
